City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bahia De Caraquez,EC,2020-07-10 14:49:52,-0.6,-80.42,74.28,78,96,7.7
70,Chokurdakh,RU,2020-07-10 14:49:52,70.63,147.92,45.91,69,0,9.26
71,Shingu,JP,2020-07-10 14:49:53,33.73,135.98,74.75,95,100,5.66
72,Vaini,TO,2020-07-10 14:49:53,-21.2,-175.2,69.8,94,75,11.41
73,New Norfolk,AU,2020-07-10 14:49:53,-42.78,147.06,39.99,90,100,2.37
74,Hervey Bay,AU,2020-07-10 14:49:53,-25.3,152.85,61.0,90,5,4.0
75,Atuona,PF,2020-07-10 14:49:53,-9.8,-139.03,79.32,80,56,20.2
76,Brandenburg,DE,2020-07-10 14:49:54,52.42,12.55,77.0,61,100,3.0
77,Chuy,UY,2020-07-10 14:49:54,-33.7,-53.46,52.16,74,92,10.63
78,Avarua,CK,2020-07-10 14:49:54,-21.21,-159.78,69.8,94,36,2.24
79,Moree,AU,2020-07-10 14:49:54,-29.47,149.85,60.8,67,90,17.22
80,Okoneshnikovo,RU,2020-07-10 14:49:54,54.84,75.08,64.8,77,58,8.3
81,Clyde River,CA,2020-07-10 14:49:54,70.47,-68.59,60.8,44,75,8.05
82,Namatanai,PG,2020-07-10 14:49:55,-3.67,152.43,79.43,77,100,6.35
83,Srednekolymsk,RU,2020-07-10 14:49:55,67.45,153.68,55.85,75,64,7.81
84,Muravlenko,RU,2020-07-10 14:49:55,63.79,74.52,68.13,58,3,15.46
85,Tuktoyaktuk,CA,2020-07-10 14:49:55,69.45,-133.04,39.2,100,90,12.75
86,Cidreira,BR,2020-07-10 14:49:55,-30.18,-50.21,58.73,69,0,17.18
87,Atbasar,KZ,2020-07-10 14:47:17,51.8,68.33,77.22,66,0,11.95
88,Kodiak,US,2020-07-10 14:49:56,57.79,-152.41,48.2,87,1,4.7
89,Woodstock,CA,2020-07-10 14:48:34,43.13,-80.75,87.01,70,5,9.17
90,Ayagoz,KZ,2020-07-10 14:49:56,47.97,80.44,71.2,47,0,5.21
91,Fortuna,US,2020-07-10 14:49:56,40.6,-124.16,57.99,100,90,3.71
92,Nikolskoye,RU,2020-07-10 14:49:56,59.7,30.79,66.2,42,40,6.71
93,Puerto Ayora,EC,2020-07-10 14:49:56,-0.74,-90.35,68.0,94,99,5.99
94,Lorengau,PG,2020-07-10 14:49:57,-2.02,147.27,82.15,78,83,9.57
95,Bluff,NZ,2020-07-10 14:49:57,-46.6,168.33,49.8,76,100,22.93
96,Balkhash,KZ,2020-07-10 14:49:57,46.84,74.98,79.93,40,64,7.43
97,Havre-Saint-Pierre,CA,2020-07-10 14:49:57,50.23,-63.6,64.4,82,90,5.82
98,Kushima,JP,2020-07-10 14:49:57,31.46,131.23,73.0,100,77,8.01
99,Petropavl,KZ,2020-07-10 14:49:58,54.88,69.16,69.8,71,0,5.01
100,East London,ZA,2020-07-10 14:49:58,-33.02,27.91,66.2,88,75,8.05
101,Upernavik,GL,2020-07-10 14:49:58,72.79,-56.15,39.34,88,75,20.47
102,Lompoc,US,2020-07-10 14:47:31,34.64,-120.46,53.6,93,43,4.7
103,Takoradi,GH,2020-07-10 14:49:58,4.88,-1.76,78.51,80,80,13.6
104,Bonthe,SL,2020-07-10 14:49:58,7.53,-12.51,76.01,90,100,15.03
105,Houma,US,2020-07-10 14:49:58,29.6,-90.72,87.01,79,1,8.01
106,Lebu,CL,2020-07-10 14:48:03,-37.62,-73.65,50.5,76,86,8.57
107,Awjilah,LY,2020-07-10 14:49:59,29.11,21.29,98.98,17,0,11.27
108,Dergachi,RU,2020-07-10 14:49:59,51.23,48.77,82.63,55,100,10.8
109,Vila Franca Do Campo,PT,2020-07-10 14:49:59,37.72,-25.43,73.4,64,75,5.82
110,Monterey,US,2020-07-10 14:45:28,36.25,-121.25,71.01,31,70,4.23
111,Donetsk,UA,2020-07-10 14:50:00,48.0,37.8,78.12,37,5,9.57
112,Port Elizabeth,ZA,2020-07-10 14:50:00,-33.92,25.57,62.6,77,20,3.36
113,Tecoanapa,MX,2020-07-10 14:50:00,16.52,-98.75,85.66,64,13,1.34
114,Te Anau,NZ,2020-07-10 14:50:01,-45.42,167.72,42.26,85,100,3.85
115,Marsaxlokk,MT,2020-07-10 14:50:01,35.84,14.54,82.4,61,20,6.93
116,Fairbanks,US,2020-07-10 14:45:01,64.84,-147.72,53.6,93,1,3.36
117,Farafangana,MG,2020-07-10 14:50:01,-22.82,47.83,69.46,86,90,13.94
118,Harper,LR,2020-07-10 14:50:01,4.38,-7.72,78.84,74,96,12.06
119,Hilo,US,2020-07-10 14:50:02,19.73,-155.09,73.4,88,90,3.36
120,Vardo,NO,2020-07-10 14:50:02,70.37,31.11,46.4,93,75,2.24
121,Talcahuano,CL,2020-07-10 14:50:02,-36.72,-73.12,51.8,87,20,3.36
122,Behshahr,IR,2020-07-10 14:50:02,36.69,53.55,86.0,66,40,11.41
123,Pangkalanbuun,ID,2020-07-10 14:50:02,-2.68,111.62,73.71,98,98,2.24
124,Tasiilaq,GL,2020-07-10 14:50:02,65.61,-37.64,42.8,75,75,2.24
125,Haines Junction,CA,2020-07-10 14:50:03,60.75,-137.51,53.04,60,65,1.88
126,Puri,IN,2020-07-10 14:50:03,19.8,85.85,86.0,89,75,11.41
127,Caravelas,BR,2020-07-10 14:50:03,-17.71,-39.25,80.02,59,95,6.55
128,Bambous Virieux,MU,2020-07-10 14:50:03,-20.34,57.76,71.6,60,75,20.8
129,Shenzhen,CN,2020-07-10 14:49:01,22.55,114.07,86.0,92,100,10.76
130,Provideniya,RU,2020-07-10 14:50:04,64.38,-173.3,54.64,68,93,5.95
131,Bafra,TR,2020-07-10 14:50:04,41.57,35.91,78.8,54,40,12.75
132,Leningradskiy,RU,2020-07-10 14:50:04,69.38,178.42,41.0,88,0,8.9
133,Naze,JP,2020-07-10 14:50:04,28.37,129.48,82.4,94,100,8.05
134,Yellowknife,CA,2020-07-10 14:48:59,62.46,-114.35,59.0,87,75,4.7
135,Victoria,HK,2020-07-10 14:46:20,22.29,114.16,86.0,70,100,8.99
136,Governador Valadares,BR,2020-07-10 14:50:05,-18.85,-41.95,79.65,54,46,4.68
137,Mandera,KE,2020-07-10 14:50:05,3.94,41.87,90.9,33,87,16.08
138,Luderitz,NA,2020-07-10 14:50:05,-26.65,15.16,57.2,93,77,21.92
139,Puerto Quijarro,BO,2020-07-10 14:50:05,-17.78,-57.77,82.63,45,88,4.88
140,Georgetown,MY,2020-07-10 14:45:11,5.41,100.34,82.4,88,40,4.7
141,Barzas,RU,2020-07-10 14:50:05,55.72,86.32,59.0,77,40,11.18
142,Thyboron,DK,2020-07-10 14:50:06,56.7,8.21,63.0,71,98,1.99
