,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hilo,US,19.73,-155.09,75.2,83,90,6.38,overcast clouds,0.0,0
1,Albany,US,42.6,-73.97,77.0,79,8,3.0,clear sky,0.0,0
2,Mar Del Plata,AR,-38.0,-57.56,46.99,87,90,19.46,light rain,0.0,0
3,Nouadhibou,MR,20.93,-17.03,80.6,57,0,13.87,clear sky,0.0,0
4,Tacna,PE,-18.01,-70.25,60.8,67,90,3.36,overcast clouds,0.0,0
7,Bethel,US,41.37,-73.41,73.99,94,90,5.82,overcast clouds,0.0,0
8,Hobart,AU,-42.88,147.33,43.0,93,75,4.7,broken clouds,0.0,0
9,Vaini,TO,-21.2,-175.2,71.6,88,75,13.87,broken clouds,0.0,0
10,Lagoa,PT,39.05,-27.98,68.09,77,95,6.49,overcast clouds,0.0,0
11,Upernavik,GL,72.79,-56.15,39.87,86,70,14.79,broken clouds,0.0,0
12,Cabo San Lucas,MX,22.89,-109.91,81.0,78,90,11.41,overcast clouds,0.0,0
13,Tuktoyaktuk,CA,69.45,-133.04,41.0,93,90,9.17,fog,0.0,0
14,New Norfolk,AU,-42.78,147.06,42.01,88,100,2.26,overcast clouds,0.0,0
15,Port Macquarie,AU,-31.43,152.92,55.0,96,74,8.01,light rain,0.12,0
16,Nikolskoye,RU,59.7,30.79,66.2,45,40,15.66,scattered clouds,0.0,0
17,Camara De Lobos,PT,32.63,-16.97,78.8,61,20,31.09,few clouds,0.0,0
18,Tasiilaq,GL,65.61,-37.64,42.8,75,75,2.24,broken clouds,0.0,0
19,Marbella,ES,36.52,-4.89,84.0,51,16,12.75,few clouds,0.0,0
20,Ribeira Grande,PT,38.52,-28.7,73.4,60,75,5.82,broken clouds,0.0,0
22,Kapaa,US,22.08,-159.32,78.8,83,90,9.17,overcast clouds,0.0,0
23,Ushuaia,AR,-54.8,-68.3,33.8,59,40,4.7,scattered clouds,0.0,0
24,Dikson,RU,73.51,80.55,44.1,79,100,19.66,overcast clouds,0.0,0
25,Thinadhoo,MV,0.53,72.93,84.83,71,100,7.27,overcast clouds,0.0,0
26,Saskylakh,RU,71.92,114.08,62.22,53,100,15.93,overcast clouds,0.0,0
27,Kuandian,CN,40.73,124.78,67.32,87,100,0.11,overcast clouds,0.0,0
28,Georgetown,MY,5.41,100.34,86.0,74,20,4.7,few clouds,0.0,0
29,Chokurdakh,RU,70.63,147.92,49.32,63,0,10.09,clear sky,0.0,0
30,Katsuura,JP,35.13,140.3,81.0,83,100,5.99,overcast clouds,0.0,0
31,Geraldton,AU,-28.77,114.6,50.0,71,0,8.05,clear sky,0.0,0
32,Enshi,CN,30.3,109.48,76.08,82,100,1.21,light rain,0.14,0
33,Rikitea,PF,-23.12,-134.97,67.01,63,7,18.61,clear sky,0.0,0
34,Qaanaaq,GL,77.48,-69.36,45.32,58,49,4.56,scattered clouds,0.0,0
35,Wanlaweyn,SO,2.62,44.89,86.34,52,97,22.95,overcast clouds,0.0,0
36,Svetlogorsk,BY,52.63,29.73,74.07,62,57,13.49,broken clouds,0.0,0
38,East London,ZA,-33.02,27.91,66.2,82,75,4.7,broken clouds,0.0,0
39,Norman Wells,CA,65.28,-126.83,51.8,81,75,12.75,light rain,0.0,0
40,Buala,SB,-8.14,159.59,80.74,82,94,8.66,light rain,0.12,0
41,Saint-Francois,FR,46.42,3.91,78.8,44,20,11.41,few clouds,0.0,0
43,Pietarsaari,FI,63.65,22.68,62.6,55,84,12.75,broken clouds,0.0,0
44,Faanui,PF,-16.48,-151.75,77.4,81,9,19.55,light rain,0.24,0
45,Severo-Kurilsk,RU,50.68,156.12,49.55,94,100,4.88,light rain,0.25,0
46,Datu Paglas,PH,6.77,124.85,76.87,84,100,3.31,overcast clouds,0.0,0
47,Trairi,BR,-3.28,-39.27,83.16,67,24,10.6,few clouds,0.0,0
48,Cayenne,GF,4.93,-52.33,80.6,83,2,2.24,clear sky,0.0,0
49,Bluff,NZ,-46.6,168.33,49.95,77,98,19.1,light rain,0.14,0
50,Honiara,SB,-9.43,159.95,77.0,94,40,2.24,scattered clouds,0.0,0
51,Jamestown,US,42.1,-79.24,75.99,83,1,4.7,clear sky,0.0,0
52,Askiz,RU,53.13,90.53,66.88,80,100,13.0,light rain,0.45,0
53,Provideniya,RU,64.38,-173.3,54.61,67,100,6.82,overcast clouds,0.0,0
54,Whitianga,NZ,-36.83,175.7,44.01,96,0,4.05,clear sky,0.0,0
55,Talnakh,RU,69.49,88.4,64.4,55,68,33.55,broken clouds,0.0,0
56,Marfino,RU,55.7,37.38,73.99,40,2,6.71,clear sky,0.0,0
57,Turayf,SA,31.67,38.66,98.6,17,40,4.7,scattered clouds,0.0,0
58,Moshenskoye,RU,58.51,34.59,69.4,45,100,8.1,overcast clouds,0.0,0
59,Beloha,MG,-25.17,45.05,83.12,20,0,7.87,clear sky,0.0,0
60,Barrow,US,71.29,-156.79,30.2,92,90,6.93,mist,0.0,0
61,Mataura,NZ,-46.19,168.86,41.13,93,99,3.71,overcast clouds,0.0,0
62,Burnie,AU,-41.07,145.92,45.0,91,100,1.99,overcast clouds,0.0,0
64,Sovetskiy,RU,61.36,63.58,91.81,34,35,4.29,scattered clouds,0.0,0
65,Hovd,MN,48.01,91.64,74.05,30,1,4.68,clear sky,0.0,0
66,Butaritari,KI,3.07,172.79,83.01,78,92,10.58,light rain,0.6,0
67,Atuona,PF,-9.8,-139.03,79.45,80,98,22.5,overcast clouds,0.0,0
68,Rocha,UY,-34.48,-54.33,48.06,78,100,10.58,overcast clouds,0.0,0
69,Panshi,CN,42.94,126.06,72.52,61,100,8.63,overcast clouds,0.0,0
71,Jumla,NP,29.27,82.18,67.41,69,98,3.67,light rain,0.6,0
72,Grindavik,IS,63.84,-22.43,51.8,66,75,10.29,broken clouds,0.0,0
73,Punta Arenas,CL,-53.15,-70.92,33.8,80,75,11.41,broken clouds,0.0,0
74,Odweyne,SO,9.41,45.06,91.27,28,14,17.47,few clouds,0.0,0
75,Port Alfred,ZA,-33.59,26.89,64.99,82,50,1.01,scattered clouds,0.0,0
76,Iqaluit,CA,63.75,-68.51,44.6,81,75,6.93,broken clouds,0.0,0
77,Yellowknife,CA,62.46,-114.35,59.0,82,90,9.17,light rain,0.0,0
78,Samarai,PG,-10.62,150.67,78.31,87,99,18.68,light rain,1.0,0
