,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Brandon,US,89.6,broken clouds,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon - OPEN
312,Denpasar,ID,77.0,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
315,Nouakchott,MR,80.6,few clouds,18.09,-15.98,Hôtel Iman
324,Manoharpur,IN,78.8,mist,27.3,75.95,कैथल हरियाणा होटल
326,Kupang,ID,80.6,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
328,Westport,US,84.0,clear sky,41.14,-73.36,The Westport Inn
330,Moussoro,TD,84.69,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
340,Milton,US,80.6,clear sky,34.13,-84.3,SpringHill Suites by Marriott Atlanta Alpharetta
342,Qui Nhon,VN,81.54,clear sky,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
349,Erzin,TR,79.0,broken clouds,36.96,36.2,Artemis Otel
350,Bandarbeyla,SO,82.06,broken clouds,9.49,50.81,REER XOOSHLE GROUP
351,Havelock,US,84.2,broken clouds,34.88,-76.9,Sherwood Motel
353,Puerto Escondido,MX,84.2,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
354,Unguia,CO,84.2,few clouds,8.04,-77.09,Hotel Divino Niño
355,Porto Velho,BR,77.0,few clouds,-8.76,-63.9,Ecos Hotel Conforto
362,Kudahuvadhoo,MV,83.98,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
364,Zhuhai,CN,88.0,few clouds,22.28,113.57,珠海粤财假日酒店
366,Matara,LK,78.8,overcast clouds,5.95,80.54,Amaloh Boutique Resort
369,Luorong,CN,80.82,overcast clouds,24.41,109.61,荣立大酒店
373,Fort Morgan,US,96.8,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
374,Pacific Grove,US,75.99,clear sky,36.62,-121.92,Lovers Point Inn
378,Buffalo,US,75.99,broken clouds,42.89,-78.88,Embassy Suites by Hilton Buffalo
380,Santa Cruz,BO,75.2,few clouds,-17.8,-63.17,Hotel Cortez
382,Victoria,HK,87.01,few clouds,22.29,114.16,Mini Hotel Central
383,Meteti,PA,77.09,clear sky,8.5,-77.98,Txai Mauá
388,Arlit,NE,93.6,clear sky,18.74,7.39,Hôtel Telwa Bungalow
396,Canala,NC,75.2,broken clouds,-21.53,165.95,Gite de Kuiné
406,Hamilton,US,77.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
